,product_name,generic_name,brands,categories
791,8 mini-samosas (4 boeuf et 4 poulet),Assortiment de 4 galettes de blé garnies d'une farce au boeuf et 4 galettes de blé garnies d'une farce au poulet,Itinéraire des Saveurs,"Plats préparés,Plats à base de viande,Plats à base de viande bovine,Plats à base de volaille,Réfrigérés,Plats préparés réfrigérés,Plats à base de poulet"
792,Pains Burger Classique Bio,,La Boulangère,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains spéciaux,Pains Burger"
793,Pizza 3 fromages,Pizza,Boucheries Andrés,"Plats préparés,Pizzas tartes salées et quiches,Pizzas,Pizzas aux trois fromages"
794,Demi-Sel Oméga 3 (offre spéciale),Margarine allégée,Fruit d'Or,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Produits à tartiner,Pâtes à tartiner végétaux,Produits à tartiner salés,Matières grasses,Spreadable fats,Matières grasses végétales,Margarines,Margarines allégées"
795,Cookies coco choco,Cookies à la noix de coco et aux pépites de chocolat,ALTER ECO,"Snacks sucrés,Desserts,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Cookies,Cookies au chocolat,Cookies au chocolat et à la noix de coco"
796,Petits palmiers feuilletes et croustillants,,Carrefour,
797,Arachides coques grillées,Cacahuètes grillées,Maître Prunille,Fruit à coque
798,Le P'tit Panier Fraîcheur - 4 très gros oeufs,,L'Oeuf de nos Villages,Oeufs frais
799,Bio Agavendicksaft,,Rewe,
800,Mélange japonais ,mélange de buiscuits et de cacahuètes enrobés recette japonaise,Maître Prunille,"Snacks salés,Apéritif,Biscuits apéritifs"
801,Edam Hollande Jeuner,,Leclerc,
802,Produits De La Mer,,Fish 4 ever,
803,Madeleines,Madeleines,St Michel,"en:sugary-snacks, en:biscuits-and-cakes, en:desserts, en:cakes, en:madeleines"
804,Naturellement bio,,Naturelleent Bio,
805,Mouliné Légumes verts,,"Saint Eloi,Intermarché",Soupes de légumes
806,Huile De Coco Bio - 250 G - Khadi,,Khadi,en:fats
807,"Kale Chips, Rote Bete - Limette",,Veganz,
808,Sirop de Verveine,,Pages,"Sirops,Sirops de verveine,Sirops aromatisés"
809,La Mutine,,Zentz,
